timestamp,trial_number,val_loss,model.base_filters,model.feature_dim,model.latent_dim,model.attention_heads,training.learning_rate,training.weight_decay,training.batch_size,training.scheduler
20251107_170052,15,inf,54,128,16,2,1.1363238176137376e-05,8.750738552130055e-05,8,reduce_on_plateau
20251107_170052,16,inf,45,256,32,8,0.0004786651736765,1.986228352964452e-05,12,reduce_on_plateau
20251107_170052,17,inf,24,256,64,8,0.0001354059939815,0.0003999907652336,12,reduce_on_plateau
20251107_170052,18,inf,35,128,8,4,0.0002700123338797,9.997841260581244e-05,8,cosine
20251107_170052,19,inf,44,512,16,2,3.996411322943498e-05,0.0001952260797752,16,reduce_on_plateau
20251107_170307,0,inf,64,128,16,8,0.0001272050969128,0.0009379183965007,12,reduce_on_plateau
20251107_170307,1,inf,37,256,16,8,2.410414312558276e-05,0.0001315571491786,12,reduce_on_plateau
20251107_170307,2,inf,38,128,32,4,1.611236451593669e-05,0.0003694938507035,12,reduce_on_plateau
20251107_170307,3,inf,28,256,32,8,6.247163394026998e-05,3.6579451112887167e-06,8,cosine
20251107_170307,4,inf,59,512,8,8,8.855964694098322e-05,0.0009199133647776,12,cosine
20251107_170307,5,inf,49,512,16,2,3.206983984746903e-05,5.163653842408442e-05,8,reduce_on_plateau
20251107_170307,6,inf,39,256,64,8,4.9186482179861176e-05,1.6259588904468928e-06,16,cosine
20251107_170307,7,inf,61,256,8,2,1.5347204436118015e-05,8.454685984249045e-06,16,cosine
20251107_170307,8,inf,45,128,16,4,0.0001079305079575,1.4814975919911845e-05,12,reduce_on_plateau
20251107_170307,9,inf,31,512,16,4,7.37338144631101e-05,0.0008254753543565,16,reduce_on_plateau
20251107_170307,10,inf,20,128,64,8,0.0003628159250609,0.0001077876673711,12,reduce_on_plateau
20251107_170307,11,inf,52,128,16,8,0.0002081076124851,0.000171552521425,12,reduce_on_plateau
20251107_170307,12,inf,32,256,16,8,2.8265510378076463e-05,0.0002280212689769,12,reduce_on_plateau
20251107_170307,13,inf,16,256,16,8,0.0001700647316701,4.2076763321922165e-05,12,reduce_on_plateau
20251107_170307,14,inf,64,128,16,8,2.8867287418153764e-05,0.0004324820006722,12,reduce_on_plateau
20251107_170307,15,inf,54,128,16,2,1.1363238176137376e-05,8.750738552130055e-05,8,reduce_on_plateau
20251107_170307,16,inf,45,256,32,8,0.0004786651736765,1.986228352964452e-05,12,reduce_on_plateau
20251107_170307,17,inf,24,256,64,8,0.0001354059939815,0.0003999907652336,12,reduce_on_plateau
20251107_170307,18,inf,35,128,8,4,0.0002700123338797,9.997841260581244e-05,8,cosine
20251107_170307,19,inf,44,512,16,2,3.996411322943498e-05,0.00019522607977524796,16,reduce_on_plateau
